"OUName","CanonicalName","UserCount"
"Complementary","us.saas/MidMarket Servers/East/EWZ/Complementary","0"
"UTA","us.saas/MidMarket Servers/East/EWZ/Complementary/UTA","0"
"Web","us.saas/MidMarket Servers/East/EWZ/Complementary/UTA/Web","0"
"East","us.saas/Enterprise Servers/East","0"
"EZ","us.saas/Enterprise Servers/East/EZ","0"
"Ultipro","us.saas/Enterprise Servers/East/EZ/Ultipro","0"
"Site","us.saas/Enterprise Servers/East/EZ/Ultipro/Site","0"
"EZ15","us.saas/Enterprise Servers/East/EZ/Ultipro/Site/EZ15","0"
"SQL_VPN","us.saas/Enterprise Servers/East/EZ/Ultipro/SQL_VPN","0"
"EZ14","us.saas/Enterprise Servers/East/EZ/Ultipro/SQL_VPN/EZ14","0"
"EZ13","us.saas/Enterprise Servers/East/EZ/Ultipro/SQL_VPN/EZ13","0"
"Web","us.saas/Enterprise Servers/East/EZ/Ultipro/Web","0"
"EZ1D","us.saas/Enterprise Servers/East/EZ/Ultipro/Web/EZ1D","0"
"Complementary","us.saas/Enterprise Servers/East/EZ/Complementary","0"
"UTA","us.saas/Enterprise Servers/East/EZ/Complementary/UTA","0"
"Web","us.saas/Enterprise Servers/East/EZ/Complementary/UTA/Web","0"
"EZ2W","us.saas/Enterprise Servers/East/EZ/Ultipro/Web/EZ2W","0"
"EZ3D","us.saas/Enterprise Servers/East/EZ/Ultipro/Web/EZ3D","0"
"Cognos","us.saas/Enterprise Servers/East/EZ/Cognos","0"
"Gateway","us.saas/Enterprise Servers/East/EZ/Cognos/Gateway","0"
"EZ3D","us.saas/Enterprise Servers/East/EZ/Cognos/Gateway/EZ3D","0"
"ONB","us.saas/Enterprise Servers/East/EZ/Complementary/ONB","0"
"Web","us.saas/Enterprise Servers/East/EZ/Complementary/ONB/Web","0"
"EZ4S","us.saas/Enterprise Servers/East/EZ/Cognos/Gateway/EZ4S","0"
"UTM","us.saas/Enterprise Servers/East/EZ/Complementary/UTM","0"
"Web","us.saas/Enterprise Servers/East/EZ/Complementary/UTM/Web","0"
"EZ13","us.saas/Enterprise Servers/East/EZ/Cognos/Gateway/EZ13","0"
"EZ21","us.saas/Enterprise Servers/East/EZ/Cognos/Gateway/EZ21","0"
"EZ2D","us.saas/Enterprise Servers/East/EZ/Ultipro/Web/EZ2D","0"
"EZ4D","us.saas/Enterprise Servers/East/EZ/Ultipro/SQL_VPN/EZ4D","0"
"EZ12","us.saas/Enterprise Servers/East/EZ/Ultipro/SQL_VPN/EZ12","0"
"EZ13","us.saas/Enterprise Servers/East/EZ/Ultipro/Site/EZ13","0"
"Hub","us.saas/Enterprise Servers/East/EZ/Cognos/Hub","0"
"EZ3D","us.saas/Enterprise Servers/East/EZ/Cognos/Hub/EZ3D","0"
"EZ11","us.saas/Enterprise Servers/East/EZ/Ultipro/SQL_VPN/EZ11","0"
"EZ16","us.saas/Enterprise Servers/East/EZ/Ultipro/Web/EZ16","0"
"EZ4D","us.saas/Enterprise Servers/East/EZ/Ultipro/Web/EZ4D","0"
"EZ11","us.saas/Enterprise Servers/East/EZ/Ultipro/Site/EZ11","0"
"Ultipro","us.saas/MidMarket Servers/East/EWZ/Ultipro","0"
"Web","us.saas/MidMarket Servers/East/EWZ/Ultipro/Web","0"
"EWZ11","us.saas/MidMarket Servers/East/EWZ/Ultipro/Web/EWZ11","0"
"EZ3D","us.saas/Enterprise Servers/East/EZ/Ultipro/SQL_VPN/EZ3D","0"
"EZ23","us.saas/Enterprise Servers/East/EZ/Cognos/Hub/EZ23","0"
"EZ4S","us.saas/Enterprise Servers/East/EZ/Cognos/Hub/EZ4S","0"
"EZ13","us.saas/Enterprise Servers/East/EZ/Ultipro/Web/EZ13","0"
"Application","us.saas/Enterprise Servers/East/EZ/Complementary/UTA/Application","0"
"EZ16","us.saas/Enterprise Servers/East/EZ/Cognos/Hub/EZ16","0"
"SQL_VPN","us.saas/MidMarket Servers/East/EWZ/Ultipro/SQL_VPN","0"
"EWZ11","us.saas/MidMarket Servers/East/EWZ/Ultipro/SQL_VPN/EWZ11","0"
"EZ16","us.saas/Enterprise Servers/East/EZ/Cognos/Gateway/EZ16","0"
"EZ2D","us.saas/Enterprise Servers/East/EZ/Cognos/Hub/EZ2D","0"
"EX","us.saas/Enterprise Servers/East/EX","0"
"Complementary","us.saas/Enterprise Servers/East/EX/Complementary","0"
"UTA","us.saas/Enterprise Servers/East/EX/Complementary/UTA","0"
"Web","us.saas/Enterprise Servers/East/EX/Complementary/UTA/Web","0"
"EZ42","us.saas/Enterprise Servers/East/EZ/Ultipro/Web/EZ42","0"
"EZ42","us.saas/Enterprise Servers/East/EZ/Ultipro/SQL_VPN/EZ42","0"
"EZ15","us.saas/Enterprise Servers/East/EZ/Ultipro/Web/EZ15","0"
"EZ41","us.saas/Enterprise Servers/East/EZ/Ultipro/SQL_VPN/EZ41","0"
"REC","us.saas/Enterprise Servers/East/EZ/Complementary/REC","0"
"Web","us.saas/Enterprise Servers/East/EZ/Complementary/REC/Web","0"
"EZ1D","us.saas/Enterprise Servers/East/EZ/Cognos/Hub/EZ1D","0"
"EZ2D","us.saas/Enterprise Servers/East/EZ/Cognos/Gateway/EZ2D","0"
"EZ15","us.saas/Enterprise Servers/East/EZ/Ultipro/SQL_VPN/EZ15","0"
"EZ11","us.saas/Enterprise Servers/East/EZ/Ultipro/Web/EZ11","0"
"EZ12","us.saas/Enterprise Servers/East/EZ/Ultipro/Web/EZ12","0"
"EZ11","us.saas/Enterprise Servers/East/EZ/Cognos/Gateway/EZ11","0"
"UTM","us.saas/Enterprise Servers/East/EX/Complementary/UTM","0"
"Web","us.saas/Enterprise Servers/East/EX/Complementary/UTM/Web","0"
"Cognos","us.saas/Enterprise Servers/East/EX/Cognos","0"
"Gateway","us.saas/Enterprise Servers/East/EX/Cognos/Gateway","0"
"ADFS","us.saas/Enterprise Servers/East/EZ/Complementary/ADFS","0"
"Web","us.saas/Enterprise Servers/East/EZ/Complementary/ADFS/Web","0"
"UTM","us.saas/MidMarket Servers/East/EWZ/Complementary/UTM","0"
"Web","us.saas/MidMarket Servers/East/EWZ/Complementary/UTM/Web","0"
"EZ3D","us.saas/Enterprise Servers/East/EZ/Ultipro/Site/EZ3D","0"
"Cognos","us.saas/MidMarket Servers/East/EWZ/Complementary/Cognos","0"
"Gateway","us.saas/MidMarket Servers/East/EWZ/Complementary/Cognos/Gateway","0"
"EZ14","us.saas/Enterprise Servers/East/EZ/Cognos/Gateway/EZ14","0"
"EZ14","us.saas/Enterprise Servers/East/EZ/Ultipro/Web/EZ14","0"
"UES","us.saas/Enterprise Servers/East/EZ/Complementary/UES","0"
"Hub","us.saas/Enterprise Servers/East/EZ/Complementary/UES/Hub","0"
"EZ12","us.saas/Enterprise Servers/East/EZ/Cognos/Gateway/EZ12","0"
"Ultipro","us.saas/Enterprise Servers/East/EX/Ultipro","0"
"Web","us.saas/Enterprise Servers/East/EX/Ultipro/Web","0"
"EXN14","us.saas/Enterprise Servers/East/EX/Ultipro/Web/EXN14","0"
"EZ21","us.saas/Enterprise Servers/East/EZ/Cognos/Hub/EZ21","0"
"EZ41","us.saas/Enterprise Servers/East/EZ/Ultipro/Web/EZ41","0"
"EZ1D","us.saas/Enterprise Servers/East/EZ/Ultipro/SQL_VPN/EZ1D","0"
"Hub","us.saas/MidMarket Servers/East/EWZ/Complementary/Cognos/Hub","0"
"EZ15","us.saas/Enterprise Servers/East/EZ/Cognos/Hub/EZ15","0"
"EZ4D","us.saas/Enterprise Servers/East/EZ/Cognos/Hub/EZ4D","0"
"Site","us.saas/MidMarket Servers/East/EWZ/Ultipro/Site","0"
"EWZ11","us.saas/MidMarket Servers/East/EWZ/Ultipro/Site/EWZ11","0"
"EZ23","us.saas/Enterprise Servers/East/EZ/Cognos/Gateway/EZ23","0"
"CDN","us.saas/Enterprise Servers/East/EZ/Complementary/CDN","0"
"Web","us.saas/Enterprise Servers/East/EZ/Complementary/CDN/Web","0"
"EZ1D","us.saas/Enterprise Servers/East/EZ/Cognos/Gateway/EZ1D","0"
"Infrastructure Servers","us.saas/Infrastructure Servers","0"
"East","us.saas/Infrastructure Servers/East","0"
"Application","us.saas/Infrastructure Servers/East/Application","0"
"EZ","us.saas/Infrastructure Servers/East/Application/EZ","0"
"EZ42","us.saas/Enterprise Servers/East/EZ/Ultipro/Site/EZ42","0"
"EZ12","us.saas/Enterprise Servers/East/EZ/Ultipro/Site/EZ12","0"
"EZ2W","us.saas/Enterprise Servers/East/EZ/Ultipro/Site/EZ2W","0"
"EZ2S","us.saas/Enterprise Servers/East/EZ/Ultipro/SQL_VPN/EZ2S","0"
"EZ1D","us.saas/Enterprise Servers/East/EZ/Ultipro/Site/EZ1D","0"
"EZ2W","us.saas/Enterprise Servers/East/EZ/Ultipro/SQL_VPN/EZ2W","0"
"Auth","us.saas/Enterprise Servers/East/EZ/Ultipro/Auth","0"
"EZ42","us.saas/Enterprise Servers/East/EZ/Ultipro/Auth/EZ42","0"
"Internal Employees","us.saas/Internal Employees","0"
"Cloud Technology","us.saas/Internal Employees/Cloud Technology","0"
"Cloud Infrastructure","us.saas/Internal Employees/Cloud Technology/Cloud Infrastructure","63"
"NonEast","us.saas/MidMarket Servers/NonEast","0"
"NW1","us.saas/MidMarket Servers/NonEast/NW1","0"
"Complementary","us.saas/MidMarket Servers/NonEast/NW1/Complementary","0"
"UTM","us.saas/MidMarket Servers/NonEast/NW1/Complementary/UTM","0"
"Web","us.saas/MidMarket Servers/NonEast/NW1/Complementary/UTM/Web","0"
"UltiPro","us.saas/MidMarket Servers/NonEast/NW1/UltiPro","0"
"Site","us.saas/MidMarket Servers/NonEast/NW1/UltiPro/Site","0"
"NW13","us.saas/MidMarket Servers/NonEast/NW1/UltiPro/Site/NW13","0"
"UTA","us.saas/MidMarket Servers/NonEast/NW1/Complementary/UTA","0"
"Web","us.saas/MidMarket Servers/NonEast/NW1/Complementary/UTA/Web","0"
"Web","us.saas/MidMarket Servers/NonEast/NW1/UltiPro/Web","0"
"NW12","us.saas/MidMarket Servers/NonEast/NW1/UltiPro/Web/NW12","0"
"SQL_VPN","us.saas/MidMarket Servers/NonEast/NW1/UltiPro/SQL_VPN","0"
"NW11","us.saas/MidMarket Servers/NonEast/NW1/UltiPro/SQL_VPN/NW11","0"
"Cognos","us.saas/MidMarket Servers/NonEast/NW1/Complementary/Cognos","0"
"Application","us.saas/MidMarket Servers/NonEast/NW1/Complementary/Cognos/Application","0"
"NW13","us.saas/MidMarket Servers/NonEast/NW1/UltiPro/SQL_VPN/NW13","0"
"NW14","us.saas/MidMarket Servers/NonEast/NW1/UltiPro/Site/NW14","0"
"NW11","us.saas/MidMarket Servers/NonEast/NW1/UltiPro/Web/NW11","0"
"Hub","us.saas/MidMarket Servers/NonEast/NW1/Complementary/Cognos/Hub","0"
"Gateway","us.saas/MidMarket Servers/NonEast/NW1/Complementary/Cognos/Gateway","0"
"NW15","us.saas/MidMarket Servers/NonEast/NW1/UltiPro/Web/NW15","0"
"NW12","us.saas/MidMarket Servers/NonEast/NW1/UltiPro/Site/NW12","0"
"NW15","us.saas/MidMarket Servers/NonEast/NW1/UltiPro/Site/NW15","0"
"NW14","us.saas/MidMarket Servers/NonEast/NW1/UltiPro/Web/NW14","0"
"NW12","us.saas/MidMarket Servers/NonEast/NW1/UltiPro/SQL_VPN/NW12","0"
"NW14","us.saas/MidMarket Servers/NonEast/NW1/UltiPro/SQL_VPN/NW14","0"
"EZ41","us.saas/Enterprise Servers/East/EZ/Ultipro/Site/EZ41","0"
"UDES","us.saas/Enterprise Servers/East/EZ/UDES","0"
"Application","us.saas/Enterprise Servers/East/EZ/UDES/Application","0"
"Web","us.saas/Enterprise Servers/East/EZ/UDES/Application/Web","0"
"EZ14","us.saas/Enterprise Servers/East/EZ/Ultipro/Site/EZ14","0"
"EZ41","us.saas/Enterprise Servers/East/EZ/Ultipro/Auth/EZ41","0"
"EW2","us.saas/MidMarket Servers/East/EW2","0"
"Complementary","us.saas/MidMarket Servers/East/EW2/Complementary","0"
"UTM","us.saas/MidMarket Servers/East/EW2/Complementary/UTM","0"
"Web","us.saas/MidMarket Servers/East/EW2/Complementary/UTM/Web","0"
"Ultipro","us.saas/MidMarket Servers/East/EW2/Ultipro","0"
"Web","us.saas/MidMarket Servers/East/EW2/Ultipro/Web","0"
"EW21","us.saas/MidMarket Servers/East/EW2/Ultipro/Web/EW21","0"
"EW22","us.saas/MidMarket Servers/East/EW2/Ultipro/Web/EW22","0"
"Cognos","us.saas/MidMarket Servers/East/EW2/Cognos","0"
"Gateway","us.saas/MidMarket Servers/East/EW2/Cognos/Gateway","0"
"EW24","us.saas/MidMarket Servers/East/EW2/Ultipro/Web/EW24","0"
"UTA","us.saas/MidMarket Servers/East/EW2/Complementary/UTA","0"
"Web","us.saas/MidMarket Servers/East/EW2/Complementary/UTA/Web","0"
"Hub","us.saas/MidMarket Servers/East/EW2/Cognos/Hub","0"
"Site","us.saas/MidMarket Servers/East/EW2/Ultipro/Site","0"
"EW24","us.saas/MidMarket Servers/East/EW2/Ultipro/Site/EW24","0"
"EW23","us.saas/MidMarket Servers/East/EW2/Ultipro/Web/EW23","0"
"EW22","us.saas/MidMarket Servers/East/EW2/Ultipro/Site/EW22","0"
"EW23","us.saas/MidMarket Servers/East/EW2/Ultipro/Site/EW23","0"
"EW21","us.saas/MidMarket Servers/East/EW2/Ultipro/Site/EW21","0"
"Phoenix","us.saas/Infrastructure Servers/Phoenix","0"
"Web","us.saas/Infrastructure Servers/Phoenix/Web","0"
"N0","us.saas/Infrastructure Servers/Phoenix/Web/N0","0"
"Phoenix","us.saas/Enterprise Servers/Phoenix","0"
"N0","us.saas/Enterprise Servers/Phoenix/N0","0"
"Complementary","us.saas/Enterprise Servers/Phoenix/N0/Complementary","0"
"ADFS","us.saas/Enterprise Servers/Phoenix/N0/Complementary/ADFS","0"
"Web","us.saas/Enterprise Servers/Phoenix/N0/Complementary/ADFS/Web","0"
"CDN","us.saas/Enterprise Servers/Phoenix/N0/Complementary/CDN","0"
"Web","us.saas/Enterprise Servers/Phoenix/N0/Complementary/CDN/Web","0"
"Applications","us.saas/Enterprise Servers/Phoenix/N0/Applications","0"
"Web","us.saas/Enterprise Servers/Phoenix/N0/Applications/Web","0"
"UES","us.saas/Enterprise Servers/Phoenix/N0/Complementary/UES","0"
"Hub","us.saas/Enterprise Servers/Phoenix/N0/Complementary/UES/Hub","0"
"Cluster Virtual Names","us.saas/Enterprise Servers/Cluster Virtual Names","0"
"REC","us.saas/Enterprise Servers/Phoenix/N0/Complementary/REC","0"
"Web","us.saas/Enterprise Servers/Phoenix/N0/Complementary/REC/Web","0"
"Informatica","us.saas/Enterprise Servers/Phoenix/N0/Informatica","0"
"Web","us.saas/Enterprise Servers/Phoenix/N0/Informatica/Web","0"
"Custom Automation Tool","us.saas/Enterprise Servers/Phoenix/N0/Custom Automation Tool","0"
"E0","us.saas/Infrastructure Servers/East/Application/E0","0"
"Application","us.saas/Infrastructure Servers/Phoenix/Application","0"
"N0","us.saas/Infrastructure Servers/Phoenix/Application/N0","0"
"EW3","us.saas/MidMarket Servers/East/EW3","0"
"Ultipro","us.saas/MidMarket Servers/East/EW3/Ultipro","0"
"Web","us.saas/MidMarket Servers/East/EW3/Ultipro/Web","0"
"EW34","us.saas/MidMarket Servers/East/EW3/Ultipro/Web/EW34","0"
"Complementary","us.saas/MidMarket Servers/East/EW3/Complementary","0"
"UTM","us.saas/MidMarket Servers/East/EW3/Complementary/UTM","0"
"Web","us.saas/MidMarket Servers/East/EW3/Complementary/UTM/Web","0"
"Cognos","us.saas/MidMarket Servers/East/EW3/Complementary/Cognos","0"
"Gateway","us.saas/MidMarket Servers/East/EW3/Complementary/Cognos/Gateway","0"
"EW31","us.saas/MidMarket Servers/East/EW3/Ultipro/Web/EW31","0"
"EW33","us.saas/MidMarket Servers/East/EW3/Ultipro/Web/EW33","0"
"UTA","us.saas/MidMarket Servers/East/EW3/Complementary/UTA","0"
"Web","us.saas/MidMarket Servers/East/EW3/Complementary/UTA/Web","0"
"Hub","us.saas/MidMarket Servers/East/EW3/Complementary/Cognos/Hub","0"
"EW32","us.saas/MidMarket Servers/East/EW3/Ultipro/Web/EW32","0"
"Site","us.saas/MidMarket Servers/East/EW3/Ultipro/Site","0"
"EW33","us.saas/MidMarket Servers/East/EW3/Ultipro/Site/EW33","0"
"EW34","us.saas/MidMarket Servers/East/EW3/Ultipro/Site/EW34","0"
"EW31","us.saas/MidMarket Servers/East/EW3/Ultipro/Site/EW31","0"
"EW32","us.saas/MidMarket Servers/East/EW3/Ultipro/Site/EW32","0"
"E4","us.saas/Enterprise Servers/East/E4","0"
"Ultipro","us.saas/Enterprise Servers/East/E4/Ultipro","0"
"SQL_VPN","us.saas/Enterprise Servers/East/E4/Ultipro/SQL_VPN","0"
"E42","us.saas/Enterprise Servers/East/E4/Ultipro/SQL_VPN/E42","0"
"Web","us.saas/Enterprise Servers/East/E4/Ultipro/Web","0"
"E41","us.saas/Enterprise Servers/East/E4/Ultipro/Web/E41","0"
"Cognos","us.saas/Enterprise Servers/East/E4/Cognos","0"
"Gateway","us.saas/Enterprise Servers/East/E4/Cognos/Gateway","0"
"Dedicated","us.saas/Enterprise Servers/East/E4/Ultipro/Web/Dedicated","0"
"E41","us.saas/Enterprise Servers/East/E4/Ultipro/SQL_VPN/E41","0"
"Complementary","us.saas/Enterprise Servers/East/E4/Complementary","0"
"UTA","us.saas/Enterprise Servers/East/E4/Complementary/UTA","0"
"Web","us.saas/Enterprise Servers/East/E4/Complementary/UTA/Web","0"
"ONB","us.saas/Enterprise Servers/East/E4/Complementary/ONB","0"
"Web","us.saas/Enterprise Servers/East/E4/Complementary/ONB/Web","0"
"Site","us.saas/Enterprise Servers/East/E4/Ultipro/Site","0"
"E41","us.saas/Enterprise Servers/East/E4/Ultipro/Site/E41","0"
"Dedicated","us.saas/Enterprise Servers/East/E4/Ultipro/SQL_VPN/Dedicated","0"
"Hub","us.saas/Enterprise Servers/East/E4/Cognos/Hub","0"
"E43","us.saas/Enterprise Servers/East/E4/Ultipro/Web/E43","0"
"UTM","us.saas/Enterprise Servers/East/E4/Complementary/UTM","0"
"Web","us.saas/Enterprise Servers/East/E4/Complementary/UTM/Web","0"
"E43","us.saas/Enterprise Servers/East/E4/Ultipro/SQL_VPN/E43","0"
"E43","us.saas/Enterprise Servers/East/E4/Ultipro/Site/E43","0"
"NT","us.saas/Enterprise Servers/Phoenix/NT","0"
"Management","us.saas/Enterprise Servers/Phoenix/NT/Management","0"
"Web","us.saas/Enterprise Servers/Phoenix/NT/Management/Web","0"
"Complementary","us.saas/Enterprise Servers/Phoenix/NT/Complementary","0"
"UTA","us.saas/Enterprise Servers/Phoenix/NT/Complementary/UTA","0"
"Web","us.saas/Enterprise Servers/Phoenix/NT/Complementary/UTA/Web","0"
"ADFS","us.saas/Enterprise Servers/Phoenix/NT/Complementary/ADFS","0"
"Web","us.saas/Enterprise Servers/Phoenix/NT/Complementary/ADFS/Web","0"
"UES","us.saas/Enterprise Servers/Phoenix/NT/Complementary/UES","0"
"Hub","us.saas/Enterprise Servers/Phoenix/NT/Complementary/UES/Hub","0"
"UTM","us.saas/Enterprise Servers/Phoenix/NT/Complementary/UTM","0"
"Web","us.saas/Enterprise Servers/Phoenix/NT/Complementary/UTM/Web","0"
"Ultipro","us.saas/Enterprise Servers/Phoenix/NT/Ultipro","0"
"Web","us.saas/Enterprise Servers/Phoenix/NT/Ultipro/Web","0"
"NT11","us.saas/Enterprise Servers/Phoenix/NT/Ultipro/Web/NT11","0"
"NT15","us.saas/Enterprise Servers/Phoenix/NT/Ultipro/Web/NT15","0"
"NT13","us.saas/Enterprise Servers/Phoenix/NT/Ultipro/Web/NT13","0"
"NT12","us.saas/Enterprise Servers/Phoenix/NT/Ultipro/Web/NT12","0"
"NT14","us.saas/Enterprise Servers/Phoenix/NT/Ultipro/Web/NT14","0"
"Cognos","us.saas/Enterprise Servers/Phoenix/NT/Cognos","0"
"Gateway","us.saas/Enterprise Servers/Phoenix/NT/Cognos/Gateway","0"
"NT12","us.saas/Enterprise Servers/Phoenix/NT/Cognos/Gateway/NT12","0"
"Development","us.saas/Internal Employees/Development","0"
"Hack Pack","us.saas/Internal Employees/Hack Pack","0"
"Security Access Management","us.saas/Internal Employees/Hack Pack/Security Access Management","11"
"N2","us.saas/Enterprise Servers/Phoenix/N2","0"
"Ultipro","us.saas/Enterprise Servers/Phoenix/N2/Ultipro","0"
"SQL_VPN","us.saas/Enterprise Servers/Phoenix/N2/Ultipro/SQL_VPN","0"
"Dedicated","us.saas/Enterprise Servers/Phoenix/N2/Ultipro/SQL_VPN/Dedicated","0"
"N21","us.saas/Enterprise Servers/Phoenix/N2/Ultipro/SQL_VPN/N21","0"
"Web","us.saas/Enterprise Servers/Phoenix/N2/Ultipro/Web","0"
"Dedicated","us.saas/Enterprise Servers/Phoenix/N2/Ultipro/Web/Dedicated","0"
"N24","us.saas/Enterprise Servers/Phoenix/N2/Ultipro/SQL_VPN/N24","0"
"Complementary","us.saas/Enterprise Servers/Phoenix/N2/Complementary","0"
"UTA","us.saas/Enterprise Servers/Phoenix/N2/Complementary/UTA","0"
"Web","us.saas/Enterprise Servers/Phoenix/N2/Complementary/UTA/Web","0"
"N22","us.saas/Enterprise Servers/Phoenix/N2/Ultipro/SQL_VPN/N22","0"
"UTM","us.saas/Enterprise Servers/Phoenix/N2/Complementary/UTM","0"
"Web","us.saas/Enterprise Servers/Phoenix/N2/Complementary/UTM/Web","0"
"N23","us.saas/Enterprise Servers/Phoenix/N2/Ultipro/SQL_VPN/N23","0"
"Citrix7x","us.saas/Enterprise Servers/Phoenix/N2/Ultipro/Citrix7x","0"
"N22","us.saas/Enterprise Servers/Phoenix/N2/Ultipro/Citrix7x/N22","0"
"Site","us.saas/Enterprise Servers/Phoenix/N2/Ultipro/Site","0"
"Dedicated","us.saas/Enterprise Servers/Phoenix/N2/Ultipro/Site/Dedicated","0"
"Cognos","us.saas/Enterprise Servers/Phoenix/N2/Cognos","0"
"Hub","us.saas/Enterprise Servers/Phoenix/N2/Cognos/Hub","0"
"N24","us.saas/Enterprise Servers/Phoenix/N2/Cognos/Hub/N24","0"
"Gateway","us.saas/Enterprise Servers/Phoenix/N2/Cognos/Gateway","0"
"N21","us.saas/Enterprise Servers/Phoenix/N2/Cognos/Gateway/N21","0"
"N24","us.saas/Enterprise Servers/Phoenix/N2/Ultipro/Site/N24","0"
"ONB","us.saas/Enterprise Servers/Phoenix/N2/Complementary/ONB","0"
"Web","us.saas/Enterprise Servers/Phoenix/N2/Complementary/ONB/Web","0"
"N21","us.saas/Enterprise Servers/Phoenix/N2/Cognos/Hub/N21","0"
"Dedicated","us.saas/Enterprise Servers/Phoenix/N2/Cognos/Hub/Dedicated","0"
"N21","us.saas/Enterprise Servers/Phoenix/N2/Ultipro/Citrix7x/N21","0"
"N23","us.saas/Enterprise Servers/Phoenix/N2/Cognos/Hub/N23","0"
"Dedicated","us.saas/Enterprise Servers/Phoenix/N2/Cognos/Gateway/Dedicated","0"
"Auth","us.saas/Enterprise Servers/Phoenix/N2/Ultipro/Auth","0"
"N24","us.saas/Enterprise Servers/Phoenix/N2/Ultipro/Auth/N24","0"
"N21","us.saas/Enterprise Servers/Phoenix/N2/Ultipro/Site/N21","0"
"NZ","us.saas/Enterprise Servers/Phoenix/NZ","0"
"Cognos","us.saas/Enterprise Servers/Phoenix/NZ/Cognos","0"
"Hub","us.saas/Enterprise Servers/Phoenix/NZ/Cognos/Hub","0"
"N23","us.saas/Enterprise Servers/Phoenix/N2/Ultipro/Site/N23","0"
"N22","us.saas/Enterprise Servers/Phoenix/N2/Ultipro/Site/N22","0"
"N22","us.saas/Enterprise Servers/Phoenix/N2/Cognos/Hub/N22","0"
"N23","us.saas/Enterprise Servers/Phoenix/N2/Ultipro/Citrix7x/N23","0"
"N24","us.saas/Enterprise Servers/Phoenix/N2/Ultipro/Citrix7x/N24","0"
"N22","us.saas/Enterprise Servers/Phoenix/N2/Ultipro/Auth/N22","0"
"N3","us.saas/Enterprise Servers/Phoenix/N3","0"
"Complementary","us.saas/Enterprise Servers/Phoenix/N3/Complementary","0"
"UTA","us.saas/Enterprise Servers/Phoenix/N3/Complementary/UTA","0"
"Web","us.saas/Enterprise Servers/Phoenix/N3/Complementary/UTA/Web","0"
"Ultipro","us.saas/Enterprise Servers/Phoenix/N3/Ultipro","0"
"SQL_VPN","us.saas/Enterprise Servers/Phoenix/N3/Ultipro/SQL_VPN","0"
"Dedicated","us.saas/Enterprise Servers/Phoenix/N3/Ultipro/SQL_VPN/Dedicated","0"
"N31","us.saas/Enterprise Servers/Phoenix/N3/Ultipro/SQL_VPN/N31","0"
"UTM","us.saas/Enterprise Servers/Phoenix/N3/Complementary/UTM","0"
"Web","us.saas/Enterprise Servers/Phoenix/N3/Complementary/UTM/Web","0"
"Web","us.saas/Enterprise Servers/Phoenix/N3/Ultipro/Web","0"
"N34","us.saas/Enterprise Servers/Phoenix/N3/Ultipro/Web/N34","0"
